year,race_name,lap_number,driver_id,position,lap_time
2023,Bahrain Grand Prix,17,hulkenberg,16,99.396
2023,Bahrain Grand Prix,17,zhou,17,99.143
2023,Bahrain Grand Prix,17,kevin_magnussen,18,98.319
2023,Bahrain Grand Prix,17,ocon,19,98.78
2023,Bahrain Grand Prix,18,max_verstappen,1,97.614
2023,Bahrain Grand Prix,18,leclerc,2,97.798
2023,Bahrain Grand Prix,18,perez,3,118.797
2023,Bahrain Grand Prix,18,sainz,4,98.287
2023,Bahrain Grand Prix,18,hamilton,5,98.69
2023,Bahrain Grand Prix,18,alonso,6,98.124
2023,Bahrain Grand Prix,18,russell,7,98.42699999999999
2023,Bahrain Grand Prix,18,bottas,8,100.24000000000001
2023,Bahrain Grand Prix,18,stroll,9,98.12700000000001
2023,Bahrain Grand Prix,18,albon,10,99.049
2023,Bahrain Grand Prix,18,tsunoda,11,99.30199999999999
2023,Bahrain Grand Prix,18,gasly,12,99.029
2023,Bahrain Grand Prix,18,sargeant,13,99.399
2023,Bahrain Grand Prix,18,de_vries,14,99.054
2023,Bahrain Grand Prix,18,zhou,15,98.87299999999999
2023,Bahrain Grand Prix,18,hulkenberg,16,100.32300000000001
2023,Bahrain Grand Prix,18,kevin_magnussen,17,98.274
2023,Bahrain Grand Prix,18,ocon,18,98.886
2023,Bahrain Grand Prix,18,norris,19,128.607
2023,Bahrain Grand Prix,19,max_verstappen,1,97.712
2023,Bahrain Grand Prix,19,leclerc,2,97.858
2023,Bahrain Grand Prix,19,perez,3,97.65899999999999
2023,Bahrain Grand Prix,19,sainz,4,98.21000000000001
2023,Bahrain Grand Prix,19,hamilton,5,98.684
2023,Bahrain Grand Prix,19,alonso,6,98.36099999999999
2023,Bahrain Grand Prix,19,russell,7,98.512
2023,Bahrain Grand Prix,19,bottas,8,99.497
2023,Bahrain Grand Prix,19,stroll,9,98.587
2023,Bahrain Grand Prix,19,albon,10,99.27199999999999
2023,Bahrain Grand Prix,19,tsunoda,11,99.17
2023,Bahrain Grand Prix,19,gasly,12,99.066
2023,Bahrain Grand Prix,19,sargeant,13,99.22
2023,Bahrain Grand Prix,19,de_vries,14,99.078
2023,Bahrain Grand Prix,19,zhou,15,98.794
2023,Bahrain Grand Prix,19,hulkenberg,16,99.63300000000001
2023,Bahrain Grand Prix,19,kevin_magnussen,17,98.803
2023,Bahrain Grand Prix,19,ocon,18,98.81700000000001
2023,Bahrain Grand Prix,19,norris,19,97.96600000000001
2023,Bahrain Grand Prix,20,max_verstappen,1,97.788
2023,Bahrain Grand Prix,20,leclerc,2,97.631
2023,Bahrain Grand Prix,20,perez,3,97.44800000000001
2023,Bahrain Grand Prix,20,sainz,4,98.096
2023,Bahrain Grand Prix,20,hamilton,5,98.47800000000001
2023,Bahrain Grand Prix,20,alonso,6,98.318
2023,Bahrain Grand Prix,20,russell,7,98.578
2023,Bahrain Grand Prix,20,stroll,8,98.038
2023,Bahrain Grand Prix,20,bottas,9,100.44200000000001
2023,Bahrain Grand Prix,20,albon,10,99.299
2023,Bahrain Grand Prix,20,tsunoda,11,99.282
2023,Bahrain Grand Prix,20,gasly,12,99.017
2023,Bahrain Grand Prix,20,sargeant,13,99.186
2023,Bahrain Grand Prix,20,de_vries,14,99.182
2023,Bahrain Grand Prix,20,zhou,15,98.896
2023,Bahrain Grand Prix,20,hulkenberg,16,99.495
2023,Bahrain Grand Prix,20,kevin_magnussen,17,99.083
2023,Bahrain Grand Prix,20,ocon,18,98.809
2023,Bahrain Grand Prix,20,norris,19,98.345
2023,Bahrain Grand Prix,21,max_verstappen,1,97.582
2023,Bahrain Grand Prix,21,leclerc,2,97.753
2023,Bahrain Grand Prix,21,perez,3,97.24000000000001
2023,Bahrain Grand Prix,21,sainz,4,98.24000000000001
2023,Bahrain Grand Prix,21,hamilton,5,98.581
2023,Bahrain Grand Prix,21,alonso,6,98.407
2023,Bahrain Grand Prix,21,russell,7,98.555
2023,Bahrain Grand Prix,21,stroll,8,98.273
2023,Bahrain Grand Prix,21,bottas,9,99.35499999999999
2023,Bahrain Grand Prix,21,albon,10,99.59100000000001
2023,Bahrain Grand Prix,21,tsunoda,11,99.325
2023,Bahrain Grand Prix,21,gasly,12,99.327
2023,Bahrain Grand Prix,21,sargeant,13,99.612
2023,Bahrain Grand Prix,21,de_vries,14,99.182
2023,Bahrain Grand Prix,21,zhou,15,98.888
2023,Bahrain Grand Prix,21,hulkenberg,16,99.703
2023,Bahrain Grand Prix,21,kevin_magnussen,17,99.086
2023,Bahrain Grand Prix,21,ocon,18,98.976
2023,Bahrain Grand Prix,21,norris,19,98.297
2023,Bahrain Grand Prix,22,max_verstappen,1,97.65100000000001
2023,Bahrain Grand Prix,22,leclerc,2,98.162
2023,Bahrain Grand Prix,22,perez,3,97.169
2023,Bahrain Grand Prix,22,sainz,4,98.453
2023,Bahrain Grand Prix,22,hamilton,5,98.46000000000001
2023,Bahrain Grand Prix,22,alonso,6,98.2
2023,Bahrain Grand Prix,22,russell,7,98.438
2023,Bahrain Grand Prix,22,stroll,8,98.72999999999999
2023,Bahrain Grand Prix,22,bottas,9,99.356
2023,Bahrain Grand Prix,22,albon,10,99.588
2023,Bahrain Grand Prix,22,tsunoda,11,99.439
2023,Bahrain Grand Prix,22,gasly,12,99.485
2023,Bahrain Grand Prix,22,sargeant,13,99.362
2023,Bahrain Grand Prix,22,de_vries,14,99.29599999999999
2023,Bahrain Grand Prix,22,zhou,15,99.11500000000001
2023,Bahrain Grand Prix,22,hulkenberg,16,99.934
2023,Bahrain Grand Prix,22,kevin_magnussen,17,98.913
2023,Bahrain Grand Prix,22,ocon,18,99.02799999999999
2023,Bahrain Grand Prix,22,norris,19,98.908
2023,Bahrain Grand Prix,23,max_verstappen,1,97.55199999999999
2023,Bahrain Grand Prix,23,leclerc,2,98.054
2023,Bahrain Grand Prix,23,perez,3,97.304
2023,Bahrain Grand Prix,23,sainz,4,98.59700000000001
2023,Bahrain Grand Prix,23,hamilton,5,98.384
2023,Bahrain Grand Prix,23,alonso,6,97.85300000000001
2023,Bahrain Grand Prix,23,russell,7,98.773
2023,Bahrain Grand Prix,23,stroll,8,98.295
2023,Bahrain Grand Prix,23,bottas,9,99.311
2023,Bahrain Grand Prix,23,albon,10,99.80199999999999
2023,Bahrain Grand Prix,23,tsunoda,11,99.632
2023,Bahrain Grand Prix,23,gasly,12,99.263
2023,Bahrain Grand Prix,23,sargeant,13,99.69200000000001
2023,Bahrain Grand Prix,23,de_vries,14,99.542
2023,Bahrain Grand Prix,23,zhou,15,99.462
2023,Bahrain Grand Prix,23,hulkenberg,16,99.866
2023,Bahrain Grand Prix,23,kevin_magnussen,17,99.027
2023,Bahrain Grand Prix,23,norris,18,98.291
2023,Bahrain Grand Prix,23,ocon,19,100.05199999999999
2023,Bahrain Grand Prix,24,max_verstappen,1,97.387
2023,Bahrain Grand Prix,24,leclerc,2,97.97200000000001
2023,Bahrain Grand Prix,24,perez,3,97.352
2023,Bahrain Grand Prix,24,sainz,4,98.314
2023,Bahrain Grand Prix,24,hamilton,5,98.36699999999999
2023,Bahrain Grand Prix,24,alonso,6,97.878
2023,Bahrain Grand Prix,24,russell,7,98.643
2023,Bahrain Grand Prix,24,stroll,8,98.47800000000001
2023,Bahrain Grand Prix,24,bottas,9,99.42699999999999
2023,Bahrain Grand Prix,24,albon,10,99.89
2023,Bahrain Grand Prix,24,tsunoda,11,100.10900000000001
2023,Bahrain Grand Prix,24,gasly,12,99.761
2023,Bahrain Grand Prix,24,sargeant,13,99.872
2023,Bahrain Grand Prix,24,de_vries,14,99.807
2023,Bahrain Grand Prix,24,zhou,15,99.503
2023,Bahrain Grand Prix,24,hulkenberg,16,99.85499999999999
